country,iso3,mean_log_population,mean_oil_export_share,mean_gdp_per_capita,mean_population,microstate_lt_1m,major_oil_exporter_ge_30pct,hub_exclusion,imf_2000_ofc,production_core_keep,strict_production_core_keep,exclusion_reasons
Iran,IRN,18.175404517573313,0.6847799370457566,14631.769562650816,78248836.44592264,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Ireland,IRL,15.334975427093996,0.0072605327401075006,77063.53342815231,4569779.110840358,False,False,True,True,False,False,finance_tax_or_reexport_hub
Israel,ISR,15.884874251823558,0.008726503692953472,39339.385184048595,7919782.108218285,False,False,False,False,True,True,
Italy,ITA,17.894057259195115,0.03470143505730147,49995.81601213041,59059576.24100397,False,False,False,False,True,True,
Jamaica,JAM,14.828691726956704,0.18268512750460594,10279.481654969633,2754349.14309089,False,False,False,False,True,True,
Japan,JPN,18.659691870808278,0.015190147851702125,42272.48755771006,126999266.75306408,False,False,False,False,True,True,
Jordan,JOR,15.89933399293629,0.005527156244546696,9677.322989491327,8035132.062597982,False,False,False,False,True,True,
Kazakhstan,KAZ,16.678581382042893,0.673631632078688,26773.61323344393,17515230.62904028,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Kenya,KEN,17.5698551318103,0.08626549051070441,4506.674902705731,42706219.86217049,False,False,False,False,True,True,
Kuwait,KWT,14.986022794979439,0.9269396159014529,60429.55372130322,3223643.485196831,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Kyrgyzstan,KGZ,15.573403894457305,0.08721370154471339,5134.391863618476,5800205.433493911,False,False,False,False,True,True,
Latvia,LVA,14.542464698393173,0.05833380945506081,28099.49548799661,2068769.819310903,False,False,False,False,True,True,
Lebanon,LBN,15.478779723743786,0.01217420371739017,14208.323208830354,5276532.5384317115,False,False,False,True,True,False,
Lesotho,LSO,14.550704198296875,0.0009556108176781542,2591.360207277823,2085885.865033434,False,False,False,False,True,True,
Lithuania,LTU,14.935914161421262,0.1885401092978558,32254.614594930645,3066091.438704066,False,False,False,False,True,True,
Luxembourg,LUX,13.19214351969061,0.004953778019113656,128817.78976033189,536136.2039883891,True,False,True,True,False,False,mean_population_below_1m;finance_tax_or_reexport_hub
Madagascar,MDG,16.962367641413387,0.04471484972048313,1644.7693857147406,23262836.412628304,False,False,False,False,True,True,
Maldives,MDV,12.866986741302565,0.01816634452471492,17763.30525898439,387312.3456939955,True,False,False,False,False,False,mean_population_below_1m
Mali,MLI,16.618867607138164,0.008626410959811325,2640.8534862419046,16499945.026502928,False,False,False,False,True,True,
Malta,MLT,13.002643705134336,0.16847222677087142,42684.4462440942,443584.54998092615,True,False,True,True,False,False,mean_population_below_1m;finance_tax_or_reexport_hub
Mexico,MEX,18.56409551617673,0.10229303898564489,20818.48639234683,115420843.59974162,False,False,False,False,True,True,
Montenegro,MNE,13.341283197044493,0.15960533299902518,21846.285009025094,622365.7348345834,True,False,False,False,False,False,mean_population_below_1m
Morocco,MAR,17.317006849367605,0.03006606140347938,7391.901484375,33165039.414165456,False,False,False,False,True,True,
North Macedonia,MKD,14.474435280803096,0.043467163393756794,17501.212090426536,1932713.0145161648,False,False,False,False,True,True,
Paraguay,PRY,15.596847126983041,0.3250714805315594,12991.111564899127,5937787.379923909,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Portugal,PRT,16.161609247366854,0.05770718168172841,37096.63310023294,10444741.95313348,False,False,False,False,True,True,
Qatar,QAT,14.278291915739116,0.9494207603857692,114453.39822362189,1588485.9943325515,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Rep. of Korea,KOR,17.72558670596056,0.06940265976438557,41265.75887097446,49902751.823291,False,False,False,False,True,True,
Rep. of Moldova,MDA,14.838163706911473,0.016868441047473898,10903.236614261352,2780562.231905838,False,False,False,False,True,True,
Romania,ROU,16.824882542765632,0.06035266753642766,27760.305184581437,20274663.129616186,False,False,False,False,True,True,
Russian Federation,RUS,18.787367258068805,0.6386621069523508,31806.743252840908,144294550.51595742,False,True,False,False,False,False,mean_oil_export_share_at_least_30pct
Rwanda,RWA,16.181177742960145,0.10359012406556682,1930.4776381394956,10651142.730052931,False,False,False,False,True,True,
Saint Lucia,LCA,12.042627932430815,0.1254808366892411,20512.97566588814,169842.6896166529,True,False,False,True,False,False,mean_population_below_1m
Saint Vincent and the Grenadines,VCT,11.594402536092865,0.002141396261042223,13884.055006206703,108488.8342027069,True,False,False,True,False,False,mean_population_below_1m
Samoa,WSM,12.195529615869729,0.14241222458101163,6311.473400712724,197902.47065425047,True,False,False,True,False,False,mean_population_below_1m
