country,iso3,reporter_code,base_window,future_window,base_year,base_year_2,future_year,future_year_2,horizon,total_positive_expansion_2024_usd,total_net_growth_2024_usd,below_threshold_residual_positive_expansion_share,continuing_product_positive_expansion_share,dying_product_positive_expansion_share,new_product_positive_expansion_share,below_threshold_residual_net_contribution_2024_usd,continuing_product_net_contribution_2024_usd,dying_product_net_contribution_2024_usd,new_product_net_contribution_2024_usd
Panama,PAN,591,2018-2019,2023-2024,2018,2019,2023,2024,5,1466187639.3737366,-10921024369.392601,0.8690926848760488,0.12046862769358221,0.00010150162447101819,0.01033718580589774,1262543050.029759,-4740653117.056713,-7458070556.420164,15156254.054516904
Peru,PER,604,2018-2019,2023-2024,2018,2019,2023,2024,5,23777312906.03585,20425876144.42937,0.0006395435184610044,0.6009793801913097,0.00020936109898763195,0.3981717151912418,7969029.126595911,10986814585.015884,-35526995.885078475,9466619526.171972
Poland,POL,616,2018-2019,2023-2024,2018,2019,2023,2024,5,104701877156.62743,91170039880.78552,0.00018502597346363293,0.8585265503187541,6.202546246760262e-07,0.14128780345315745,15771977.812119622,77399168518.43535,-947503490.3449054,14702602874.88297
Russia,RUS,643,2015-2016,2020-2021,2015,2016,2020,2021,5,92915532732.33472,39885632429.29876,9.657793484486219e-05,0.9422609619740521,2.0650030154808853e-06,0.05764039508808772,412349.10136205517,40376489820.882675,-5839410003.828144,5348140263.142873
Rwanda,RWA,646,2016-2017,2021-2022,2016,2017,2021,2022,5,1158553232.884489,987860932.4801271,0.026092488480820582,0.8561614790747066,0.0007730517966055572,0.11697298064786739,24091454.64992581,842255888.0314841,-13725485.279373907,135239075.07809082
Senegal,SEN,686,2018-2019,2023-2024,2018,2019,2023,2024,5,1759722590.8356657,1277813934.521043,0.010035462388325554,0.9254650527850037,0.0007499879666749344,0.06374949685999576,5133035.923940246,1249474811.5560365,-80123054.1029858,103329141.14405194
Singapore,SGP,702,2018-2019,2023-2024,2018,2019,2023,2024,5,68531499291.72058,8783037871.381008,1.8020672940809132e-05,0.9088356547275033,1.4480073485798142e-05,0.09113184452607022,-4974698.675010585,10556594354.626526,-7983027838.643284,6214446054.072792
Slovakia,SVK,703,2018-2019,2023-2024,2018,2019,2023,2024,5,20558918999.94801,9726981898.317352,0.002977649443178163,0.9664217024684726,0.00011262399416654597,0.030488024094182845,56983700.282694325,9084617304.434525,-39277419.94068675,624658313.5408229
Slovenia,SVN,705,2018-2019,2023-2024,2018,2019,2023,2024,5,24627080827.769566,19092146209.7923,0.00020138871704886526,0.9943450096883183,2.1728228368275797e-05,0.005431873366264571,-1337392.199459542,18997412136.81863,-37380450.09563817,133451915.26876476
South Africa,ZAF,710,2018-2019,2023-2024,2018,2019,2023,2024,5,19625939276.122093,7234807079.183583,0.0001272114199338987,0.6717415685310866,0.0001000389772554069,0.3280311810717239,-1143367.1038475228,1295745833.5714998,-497448716.0066864,6437653328.722615
Spain,ESP,724,2018-2019,2023-2024,2018,2019,2023,2024,5,49144334621.25687,6127358113.841555,1.0421356045895199e-05,0.9405538561926349,1.0580140977388414e-05,0.059425142310341975,-1185057.9579096958,6850796924.629381,-3642486825.6941314,2920233072.8642206
Sweden,SWE,752,2018-2019,2023-2024,2018,2019,2023,2024,5,21748914242.060184,2314417542.19115,0.00010647162875753671,0.8588832812581485,8.302955005951631e-06,0.14100194415808806,444969.24563133536,-308328451.27758455,-406264339.2745181,3028565363.4976206
Switzerland,CHE,757,2018-2019,2023-2024,2018,2019,2023,2024,5,96750849759.88406,67765202701.666214,1.8106765566407542e-05,0.9326288939660401,1.134087156935696e-08,0.0673529879275218,-1011645.5290654007,62024694537.2074,-774939005.8670751,6516458815.854946
Turkey,TUR,792,2018-2019,2023-2024,2018,2019,2023,2024,5,67419036964.87271,52784927126.64516,2.8335254201666565e-05,0.8131265803561524,1.1192663693587715e-05,0.18683389172595247,311183.57668877474,41195546846.041306,-1007091955.5358561,12596161052.563015
Uganda,UGA,800,2018-2019,2023-2024,2018,2019,2023,2024,5,3848571127.5028224,3414284011.966409,0.004005073266969671,0.9314994270483995,0.0001581432792475932,0.06433735640538323,6543358.448949216,3199059264.9054537,-38410006.96227131,247091395.5742783
United Arab Emirates,ARE,784,2017-2018,2022-2023,2017,2018,2022,2023,5,265390489678.32376,247394006974.2337,1.6926990634741854e-05,0.9867944275055509,2.1859926141989995e-05,0.013166785577672143,-7755478.723228113,248315985467.95834,-4408308724.38749,3494085709.385996
United Kingdom,GBR,826,2018-2019,2023-2024,2018,2019,2023,2024,5,75280722479.25883,-48098283673.35069,5.073658224999071e-05,0.8165153779502548,0.0002381353787678378,0.1831957500887274,3344746.53156689,-42131176933.504135,-19688773392.605183,13718321906.227037
United States,USA,842,2018-2019,2023-2024,2018,2019,2023,2024,5,247917487644.14056,122602333216.01181,4.6951826890236266e-08,0.8457665033763874,6.684731942392882e-07,0.1542327811985916,-79558.94005117333,91927490880.68153,-7543026393.289495,38217948287.55986
Zimbabwe,ZWE,716,2018-2019,2023-2024,2018,2019,2023,2024,5,2883300770.355398,2406827528.4826093,0.004742059264874651,0.9818643672653643,4.0587556547396225e-05,0.013352985913213735,2850959.231872773,2426446078.92202,-60176156.423077695,37706646.75179416
