variant,outcome,outcome_label,expected_shape,estimator,income_form,observations,countries,linear_coefficient,linear_p_value,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,income_p05,income_p95,turning_point_inside_p05_p95,slope_at_p05,slope_at_p05_standard_error,slope_at_p05_one_sided_p,slope_at_p95,slope_at_p95_standard_error,slope_at_p95_one_sided_p,intersection_union_endpoint_p,observations_above_turning_point,countries_above_turning_point,r_squared
no_microstates_or_major_oil,export_product_theil,Export Product Theil,concentration_u,between_country,level_ppp,88,88,-1.0268907453940195,8.488420858551816e-15,0.08965014531921806,1.8008344449121814e-06,57272.11828478139,1951.2658861698824,62079.87338353759,True,-0.991904491343707,0.12535022784439026,1.2556415271929197e-15,0.08620318865254095,0.11370993506597457,0.22419638404525888,0.22419638404525888,6,6,0.6220225000941708
no_microstates_or_major_oil,export_product_theil,Export Product Theil,concentration_u,country_year_fe,level_ppp,2160,88,-0.14533045822210236,0.28156647850503347,0.011409129785252147,0.12608786129587948,63690.42203813027,1747.6748569947295,62783.22972293275,False,-0.1413425683689274,0.13255588457815357,0.1431470441892534,-0.0020700549728543682,0.05997157793622216,0.5137676632932331,0.5137676632932331,95,7,0.9469266031801753
no_microstates_or_major_oil,export_product_theil,Export Product Theil,concentration_u,pooled_year_fe,log_ppp,2160,88,-2.7492754024880988,0.005606314830638916,0.10147577992732744,0.05773252275206814,764105.4324868154,1747.6748569947295,62783.22972293275,False,-1.2340306279680946,0.20254064873130273,5.549179373293467e-10,-0.507179557590375,0.20164847795017699,0.9940511960629194,0.9940511960629194,0,0,0.6349320194486685
no_microstates_or_major_oil,export_product_theil,Export Product Theil,concentration_u,between_country,log_ppp,88,88,-2.9194792910728387,0.009291581699318806,0.10979804568536411,0.06784188595621837,594079.7939472724,1951.2658861698824,62079.87338353759,False,-1.2557680022737445,0.22035686105591998,6.032952742810866e-09,-0.49597793288101677,0.21826602007694848,0.9884674683550039,0.9884674683550039,0,0,0.6714015767494561
no_microstates_or_major_oil,export_product_theil,Export Product Theil,concentration_u,country_year_fe,log_ppp,2160,88,-2.374662687780478,0.04689545655883291,0.1109416134212548,0.08467662569837306,44458.3575092115,1747.6748569947295,62783.22972293275,True,-0.718073301290783,0.268926302322762,0.0037908795454409676,0.07657967425096412,0.2780235432039735,0.3914879070239593,0.3914879070239593,446,24,0.9485471998456427
no_microstates_or_major_oil,export_product_hhi,Export Product HHI,concentration_u,pooled_year_fe,level_ppp,2160,88,-0.047252312474811334,8.920104481387005e-07,0.0037413025971293782,0.0005112374840902832,63149.54651231235,1747.6748569947295,62783.22972293275,False,-0.045944596378528914,0.009263562338462254,3.5298979168744836e-07,-0.0002741003910955997,0.0055972494236938295,0.5195286178598484,0.5195286178598484,100,9,0.24191975108839714
no_microstates_or_major_oil,export_product_hhi,Export Product HHI,concentration_u,between_country,level_ppp,88,88,-0.0556150524058318,4.593927138122691e-06,0.004866724302687981,0.0010619681049003507,57138.07578448052,1951.2658861698824,62079.87338353759,True,-0.053715797783986004,0.011586154815719877,1.7743136056049683e-06,0.004810073294859232,0.007877732993247571,0.2707351731774288,0.2707351731774288,6,6,0.29390651089490616
no_microstates_or_major_oil,export_product_hhi,Export Product HHI,concentration_u,country_year_fe,level_ppp,2160,88,0.008176488776298351,0.36898621745929583,-0.0004010659884127552,0.38375885231452767,101934.45732779958,1747.6748569947295,62783.22972293275,False,0.00803630218750941,0.008946025903539235,0.8154897788750454,0.0031404451593837314,0.003818633470509499,0.20542456568896217,0.8154897788750454,17,2,0.8565850716147494
no_microstates_or_major_oil,export_product_hhi,Export Product HHI,concentration_u,pooled_year_fe,log_ppp,2160,88,-0.2741525170520269,0.01173054050183435,0.012088365493063405,0.03186994841971646,84079.63713191125,1747.6748569947295,62783.22972293275,False,-0.09364803944200037,0.025395168051238162,0.00011317525138030968,-0.007061452928029288,0.0172947400160363,0.6584735048742948,0.6584735048742948,27,2,0.3220561317063855
no_microstates_or_major_oil,export_product_hhi,Export Product HHI,concentration_u,between_country,log_ppp,88,88,-0.3032348507176974,0.016793862569990745,0.013566974594248991,0.0387004450035407,71358.94229413537,1951.2658861698824,62079.87338353759,False,-0.09766171281337399,0.028113394511507548,0.00025652397129320703,-0.003779781636270574,0.019619219301764447,0.5763862332463292,0.5763862332463292,3,3,0.3784716204781564
