model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,model_description,outcome_sd,outcome_label,bh_q_value,effect_of_population_doubling,effect_of_population_doubling_sd,doubling_ci_low_sd,doubling_ci_high_sd
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_population,-0.5219321895465924,0.04471453354194506,-11.672540183316169,5.948995436258695e-23,-0.6102652165878433,-0.4335991625053415,3635,155,0.5453132090354171,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,1.7383362007530971,Country-specific specialization (KL),2.0821484026905432e-22,-0.36177582562769944,-0.20811614316664853,-0.24333820700990444,-0.17289407932339265
main_year_fe,cadot_broad_156,Exports,product,specialization_kl,specialization_kl,log_gdp_per_capita,-0.682376238085759,0.056652334709146344,-12.044979992247194,5.820383864905324e-24,-0.7942922487742904,-0.5704602273972276,3635,155,0.5453132090354171,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,1.7383362007530971,Country-specific specialization (KL),,,,-0.31671746382546656,-0.2274662968364056
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_population,0.051161699078440925,0.0057151964141363325,8.951870656954904,1.0596064384463711e-15,0.0398713968118995,0.06245200134498235,3635,155,0.5391151888801431,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.2316762857584397,Global-market share of observed Theil,2.4724150230415327e-15,0.03546258746887768,0.15306956149086923,0.11929035461994045,0.18684876836179803
main_year_fe,cadot_broad_156,Exports,product,market_component_share,market_component_share,log_gdp_per_capita,0.10924369776205464,0.008466518519624851,12.903024721298927,2.7462154553904195e-26,0.0925181915317879,0.1259692039923214,3635,155,0.5391151888801431,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.2316762857584397,Global-market share of observed Theil,,,,0.27680314107602894,0.3768844890568494
main_year_fe,cadot_broad_156,Exports,product,observed_gini,observed_gini,log_population,-0.0068416726608765575,0.0016088841683048758,-4.2524333296690715,3.65427330720049e-05,-0.010020004122431439,-0.003663341199321676,3635,155,0.08788796518559028,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.05375323642279308,Observed active-product Gini,4.2633188584005715e-05,-0.004742286115200644,-0.08822326674249821,-0.1292078034526929,-0.04723873003230354
main_year_fe,cadot_broad_156,Exports,product,observed_gini,observed_gini,log_gdp_per_capita,-0.004362006866210885,0.0025638089937145016,-1.7013774726997566,0.09089025423947318,-0.00942678091686587,0.0007027671844440997,3635,155,0.08788796518559028,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.05375323642279308,Observed active-product Gini,,,,-0.12155819908010577,0.009062172343560023
main_year_fe,cadot_broad_156,Exports,product,market_benchmark_gini,market_benchmark_gini,log_population,0.004080958018751622,0.0007776454896503042,5.247838601348757,5.021761018149643e-07,0.0025447286404142663,0.005617187397088977,3635,155,0.09525201150808227,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.040990634757227036,World-market benchmark Gini,7.030465425409501e-07,0.002828704544681187,0.06900855674557368,0.04303108485243216,0.09498602863871522
main_year_fe,cadot_broad_156,Exports,product,market_benchmark_gini,market_benchmark_gini,log_gdp_per_capita,0.0024641950936542117,0.0014319497678784029,1.720866994730687,0.08728335403812429,-0.00036460457276882513,0.005292994760077248,3635,155,0.09525201150808227,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.040990634757227036,World-market benchmark Gini,,,,-0.006165423715216237,0.08950396636683602
main_year_fe,cadot_broad_156,Exports,product,gini_gap,gini_gap,log_population,-0.01092263067962815,0.0017072055036024822,-6.397958919754895,1.7957037521240363e-09,-0.014295194764932271,-0.007550066594324029,3635,155,0.19741045520426648,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.05115252924908189,Observed minus benchmark Gini,3.1424815662170634e-09,-0.007570990659881811,-0.14800813901138035,-0.19370838729437684,-0.10230789072838384
main_year_fe,cadot_broad_156,Exports,product,gini_gap,gini_gap,log_gdp_per_capita,-0.006826201959865076,0.0025984214313621327,-2.627057288504073,0.009483360744469217,-0.011959352467759043,-0.00169305145197111,3635,155,0.19741045520426648,ok,3635,0,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Main cross-country size gradient,0.05115252924908189,Observed minus benchmark Gini,,,,-0.16205633555252968,-0.02294185366206031
