source_file,reporter_code,year,total_imports_cells,active_products,active_partners,actual_partner_gini,counterfactual_partner_gini,partner_gini_reduction,explained_share,counterfactual_residual_share,full_diffusion_partner_gini,full_diffusion_reduction,full_diffusion_explained_share,conservative_total_abs_error,full_diffusion_total_abs_error,conservative_product_total_max_abs_error,country,iso3,exercise1_total_imports,exercise1_partner_gini,exercise1_partner_active_count,exercise4_summary_total_imports,exercise4_summary_import_products,exercise4_country,exercise4_iso3,partner_gini_validation_abs_diff,exercise4_total_abs_diff,exercise1_total_abs_diff
COMTRADE-FINAL-CA3722024H6[2025-03-21].parquet,372,2024,144399723001.80298,5383,236,0.9316139097540905,0.7034763094311678,0.22813760032292274,0.2448842787063389,0.7551157212936611,0.0,0.9316139097540905,1.0,0.0,3.0517578125e-05,5.960464477539063e-08,Ireland,IRL,144399723001.803,0.9316139097540904,236,144399723001.803,5383,Ireland,IRL,1.1102230246251565e-16,3.0517578125e-05,3.0517578125e-05
COMTRADE-FINAL-CA4102025H6[2026-05-21].parquet,410,2025,631585806009.0,5375,230,0.9133506520459431,0.6854594161805798,0.2278912358653633,0.24951122042216486,0.7504887795778351,0.0,0.9133506520459431,1.0,0.0,0.0,3.814697265625e-06,Korea,KOR,626155901254.0,0.9137716693434528,230,631585806009.0,5375,Korea,KOR,0.00042101729750965156,0.0,5429904755.0
COMTRADE-FINAL-CA0402024H6[2025-07-07].parquet,40,2024,201941075583.91803,5369,234,0.9199147705898545,0.6925418436267963,0.22737292696305822,0.24716738357974774,0.7528326164202522,0.0,0.9199147705898545,1.0,6.103515625e-05,3.0517578125e-05,1.1920928955078125e-07,Austria,AUT,201941075583.91797,0.9199147705898544,234,201941075583.918,5369,Austria,AUT,1.1102230246251565e-16,3.0517578125e-05,6.103515625e-05
COMTRADE-FINAL-CA5912025H6[2026-05-05].parquet,591,2025,14144751305.0,4233,111,0.8743410883115497,0.6516190992598128,0.2227219890517369,0.254731239363162,0.745268760636838,0.0,0.8743410883115497,1.0,1.9073486328125e-06,0.0,1.1920928955078125e-07,Panama,PAN,13897693159.0,0.875348409558397,111,14144751305.0,4233,Panama,PAN,0.0010073212468473258,0.0,247058146.0
COMTRADE-FINAL-CA2032025H6[2026-04-29].parquet,203,2025,249642492160.0,5362,235,0.9105519358722274,0.6891021151631163,0.22144982070911112,0.2432039425592808,0.7567960574407192,0.0,0.9105519358722274,1.0,3.0517578125e-05,0.0,2.384185791015625e-07,Czech Republic,CZE,246173935336.0,0.9108480751466363,235,249642492160.0,5362,Czech Republic,CZE,0.0002961392744089686,0.0,3468556824.0
COMTRADE-FINAL-CA6992024H6[2025-04-25].parquet,699,2024,696237787539.398,5051,213,0.8787750994076866,0.6613952036739732,0.2173798957337134,0.2473669268510591,0.7526330731489409,0.0,0.8787750994076866,1.0,0.0,0.0,9.5367431640625e-07,India,IND,693987469199.6221,0.8786728681352549,212,696237787539.398,5051,India,IND,0.0001022312724316965,0.0,2250318339.775879
COMTRADE-FINAL-CA0562024H6[2026-03-12].parquet,56,2024,355824764325.36,5484,234,0.9230465763796027,0.709459385861243,0.21358719051835973,0.23139373026667512,0.7686062697333249,0.0,0.9230465763796027,1.0,0.0,0.0,9.5367431640625e-07,Belgium,BEL,355824764325.36,0.9230465763796027,234,355824764325.36,5484,Belgium,BEL,0.0,0.0,0.0
COMTRADE-FINAL-CA7242025H6[2026-04-30].parquet,724,2025,505768522717.662,5490,235,0.8779834850599844,0.6693569660073924,0.208626519052592,0.23762009491367428,0.7623799050863257,0.0,0.8779834850599844,1.0,0.0,6.103515625e-05,2.384185791015625e-07,Spain,ESP,505768522717.662,0.8779834850599846,235,505768522717.6621,5490,Spain,ESP,2.220446049250313e-16,0.0001220703125,0.0
COMTRADE-FINAL-CA6162024H6[2025-03-24].parquet,616,2024,373568290917.0,5387,235,0.8988966709707487,0.6932581664935065,0.2056385044772422,0.22876767833077663,0.7712323216692234,0.0,0.8988966709707487,1.0,6.103515625e-05,0.0,9.5367431640625e-07,Poland,POL,364767456684.0,0.8998144000578945,235,373568290917.0,5387,Poland,POL,0.0009177290871458244,0.0,8800834233.0
COMTRADE-FINAL-CA7102025H6[2026-05-15].parquet,710,2025,96400214503.424,5269,233,0.8847479062064256,0.6843592481900334,0.20038865801639227,0.22649237891458593,0.773507621085414,0.0,0.8847479062064256,1.0,1.52587890625e-05,1.52587890625e-05,1.1920928955078125e-07,South Africa,ZAF,95338539346.29498,0.8860461191858366,233,96400214503.424,5269,South Africa,ZAF,0.0012982129794110175,0.0,1061675157.1290131
